Gender,Age group,Height,Weight
Male,Adult,1.8238466579995412,85.94836976818665
Male,Elderly,1.767136828118997,79.69423515696596
Male,Adult,1.738435171761176,79.41097383491183
Male,Adult,1.7198896304410711,62.451094317012235
Male,Child,1.6021478009632573,69.04202033193573
Male,Child,1.6780155791605291,63.166480562496
Male,Child,1.7039361229040213,79.61501427686761
Male,Elderly,1.8557122226218916,77.02254878601067
Male,Adult,1.7843618289568461,75.4657610729773
Male,Adult,1.5736959844637266,68.48437408389663
Male,Child,1.7824083969394795,59.325405072853364
Male,Elderly,1.7114917719583684,75.40374416081343
Male,Elderly,1.682307799969404,73.28235958808497
Male,Adult,1.8111676288840868,65.37000408872821
Male,Child,1.853099952249595,80.37145186823645
Male,Child,1.8431280119116198,82.91373667518909
Male,Adult,1.666078247677736,97.60715364545251
Male,Adult,1.7190787624148784,80.369914098146
Male,Adult,1.7831263431403563,74.867234323709
Male,Adult,1.847554512712236,73.8577636560234
Male,Adult,1.702082576215471,59.769804839844326
Male,Child,1.7314341023336184,78.4480344316658
Male,Adult,1.639366502599397,74.77810199256685
Male,Adult,1.6303793375919329,99.36455842926213
Male,Adult,1.83125258223942,81.62331388870857
Male,Adult,1.8856240028570823,78.03178684599956
Male,Child,1.7427989878419665,78.22016435041363
Male,Adult,1.8503532897892023,64.74736603245961
Male,Adult,1.7861636025047634,86.82208649057192
Male,Child,1.6854880245394877,87.98534527888238
Male,Adult,1.7861395605508414,88.51930494761962
Male,Child,1.903803656646597,73.22053880574111
Male,Child,1.7464173960890048,96.44140841045407
Male,Elderly,1.9064643655814006,64.37328438794836
Male,Elderly,1.4880254895910254,81.28852846232928
Male,Elderly,1.8321902504375225,97.52588655568172
Male,Adult,1.758704706823817,67.78584943747894
Male,Child,1.7200992649534133,69.17760673042143
Male,Adult,1.7591760776535503,77.55894496462962
Male,Adult,1.5512431085399108,70.8994855381076
Male,Child,1.7280328112162489,56.01256476540141
Male,Adult,1.7857112571511746,87.62304530774156
Male,Child,1.8977894044741517,62.50352734633909
Male,Elderly,1.6981729781726354,73.82738623898906
Male,Adult,1.6691506397106812,71.32338194480889
Male,Adult,1.6998242956415464,94.64483227859964
Male,Adult,1.8415402117702073,72.6009796624379
Male,Adult,1.7828751109659684,76.35404937274053
Male,Adult,1.6970239796232962,83.21910832779794
Male,Child,1.8013267433113356,59.914796451887696
Female,Elderly,1.534328600155111,63.44833683651217
Female,Adult,1.6585977932194549,55.9701658838711
Female,Adult,1.602122977173932,85.7488063632867
Female,Adult,1.6771200395273675,69.18267618793027
Female,Child,1.6578590099658836,44.22906879625121
Female,Elderly,1.6141736869874503,63.78712093868858
Female,Elderly,1.5522565025545276,59.744023415535295
Female,Adult,1.498812222025131,66.17283756871325
Female,Adult,1.5842788038346385,53.00272449621219
Female,Adult,1.688511903545878,65.3180334028989
Female,Adult,1.6371274995304164,69.51145390432987
Female,Elderly,1.520340897703041,66.88624946603731
Female,Elderly,1.6338544740680947,52.24006465046996
Female,Adult,1.650825390378307,62.93643097972157
Female,Adult,1.5492914051039095,51.88919720377074
Female,Child,1.6322980084756424,51.91032771864854
Female,Child,1.6246566974756802,74.59107360210817
Female,Elderly,1.5285623761735503,64.79086389571803
Female,Adult,1.6486229888278627,55.88662134971397
Female,Child,1.664862762109459,79.38242841681422
Female,Child,1.7066440994540222,86.55501950790786
Female,Adult,1.7043041641627923,72.7144022210203
Female,Child,1.5097864505634329,50.08656631529231
Female,Child,1.5449739968067904,53.97790086996917
Female,Adult,1.661202821376693,74.6505761581678
Female,Adult,1.661102876072977,57.50170454553008
Female,Adult,1.6612038149044839,69.7720157744139
Female,Adult,1.9282185192523777,70.67400582244511
Female,Adult,1.6656712408554535,59.85616773539937
Female,Adult,1.710845251214448,72.53998080872158
Female,Adult,1.6963201410794564,38.66067297734135
Female,Adult,1.6721113001044638,58.58493730537372
Female,Adult,1.5947784604287725,65.04166197782824
Female,Elderly,1.6807175376394614,52.91220557343031
Female,Adult,1.5581739828369943,77.24217290704644
Female,Adult,1.6010545114607995,52.32745897612227
Female,Child,1.5811709161736718,60.37539866575973
Female,Adult,1.626549931150906,61.268934990261364
Female,Adult,1.8051726853338808,78.42013778781822
Female,Adult,1.4706187845926602,52.75218633966801
Female,Elderly,1.6749008152299611,81.37435060865066
Female,Adult,1.490982730304828,66.93276989714153
Female,Elderly,1.5822454507368455,66.33733516421321
Female,Adult,1.7071160477573895,65.15664102001314
Female,Adult,1.6251424015276372,70.02102709509208
Female,Adult,1.5337804177656555,58.8114916018926
Female,Adult,1.5627757032592027,74.63887721888293
Female,Adult,1.6743678199147742,57.68132742103814
Female,Child,1.5615706694626292,59.822899917031904
Female,Adult,1.637316687166558,66.549642800433
