country,continent,ln_GDPpa,ln_NTLpa,NDVI,Temperature,Rainfall,RoadDensity,Elevation,CoastalProximity,UrbanArea,ArableLand,ForestCover,WaterBodies
Latvia,Europe,13.617613053655225,14.660489290397134,0.30835274701352355,26.956223904027134,615.5201979691195,6.272200977288415,883.4874927595145,0,0,1,0,0
Zambia,Africa,11.168483542118109,12.171410354120011,0.4030471294958984,22.049437309883857,1267.9214081465857,0.20075322676618512,761.0172069931014,1,1,1,0,0
Iran (Islamic Republic of),Asia,13.383288814845269,15.413530709980456,0.4005083199659369,22.70761203207467,855.6402326203934,4.18896025782104,51.72809630084333,0,0,0,0,0
Italy,Europe,15.903124977994464,16.763160767721832,0.6260054248721325,18.471639302223167,1171.9858929914544,3.865684380844377,269.5918870527181,1,0,0,1,1
Kuwait,Asia,16.36558861930693,17.576216148892215,0.4350875802592501,25.873165519061843,1349.9816816423263,7.3876869749973935,611.30719748849,1,1,0,1,0
Australia,Oceania,12.02481940797471,12.163401673068837,0.42759001001983404,18.69981000906589,794.2516317871514,3.498857695899994,494.6662531540487,0,1,1,0,0
The former Yugoslav Republic of Macedonia,Europe,14.0255822887167,15.098919804185838,0.38032466480756255,27.154304437540404,747.4206666824132,4.3565639894506685,486.7293101611461,1,0,0,0,0
Benin,Africa,12.608378430823407,12.163478879658271,0.2847306829817747,13.261266275800956,848.093450259302,7.444207606087527,622.8627444215573,0,0,1,1,1
Paraguay,Americas,12.24750061180796,13.827995524020125,0.6587678560383763,10.5914740665289,1062.2480436353085,5.39852530894245,489.42599768931393,0,1,0,1,0
Peru,Americas,12.586328414111328,13.021141022609491,0.5335497569889598,18.271969827546098,727.3235250063692,0.16809948025945687,479.2605459754096,0,0,1,1,0
Congo,Africa,11.016823691125508,12.03641501814095,0.48667472880328355,18.892685025756318,1144.258299389543,2.9093584476781085,416.3045906830927,0,1,0,1,0
Turkmenistan,Asia,12.57903426033496,14.497150794498246,0.2782954444547939,29.605258456927366,1152.8578345939122,5.761111424184238,444.1606117459388,1,0,0,1,1
El Salvador,Americas,14.695703350776066,14.903893329185296,0.5565347520172871,20.17376616689005,874.2506387688569,5.8303096407241135,416.24851019492496,0,0,0,0,0
Chile,Americas,13.232280594130554,13.932689523437086,0.5530176936427338,18.888857948536437,1167.1422239456813,8.451446187721883,635.6803944862082,0,0,0,1,0
Guinea,Africa,11.685996796010176,11.238958157542452,0.6279027030770169,14.713554684161137,927.5819917860742,3.639135280437587,538.1962993255867,0,1,1,1,0
Slovenia,Europe,14.979683750070327,15.479278369343326,0.7401281853166423,19.497241850175055,1029.892349593657,5.827856445885712,370.76112762110483,0,0,0,0,1
Argentina,Americas,12.81517943560867,14.237310993743504,0.5003391770197755,23.95760965956239,512.2458079645755,5.2486350210900135,567.9777044375221,0,0,1,1,0
Chad,Africa,9.823889484500524,10.4370277494433,0.5859634036072595,18.62485597318301,886.9805067441398,1.3628264385534066,433.8718403459964,1,0,1,0,0
Trinidad and Tobago,Americas,15.767335781983304,17.04492838323006,0.5172014168703796,16.767279129854035,1331.9926739014602,3.693061662311371,782.0704496058207,0,0,0,0,1
Albania,Europe,14.011504646090277,14.95713185524158,0.4783906285557106,25.932965413450248,1086.3361084877447,7.06396034432635,706.9497746857982,0,0,1,1,0
Slovakia,Europe,14.89421108442918,15.441518044736004,0.5058482083970914,18.811267663614487,1072.195299751233,3.3192098008757442,738.0448375375047,0,0,1,0,0
Armenia,Asia,14.066421195851008,14.071789471662594,0.38061342271771015,11.26854552224332,1291.7662509889835,4.010637889048557,415.43414031429967,1,0,1,0,1
Netherlands,Europe,16.91661978838615,17.640984060368893,0.3259860886368106,21.58964026947658,615.5914603175845,7.873204667039298,683.482427614209,0,0,1,1,0
Mali,Africa,10.417608029137556,10.429673897922427,0.3749627427418347,22.292550247672764,1061.1648888623101,8.948997724903887,446.21536231053926,0,0,0,0,0
Ireland,Europe,15.585563929479717,15.39530690582862,0.5338654688949742,24.57278142965803,1149.93010750679,8.761399988844417,358.1648430273142,0,1,0,0,0
Uganda,Africa,12.702145234469144,11.896362886494678,0.4048715719115056,23.60797724761922,878.4146337737051,2.8323603740215217,416.57425920212984,0,0,0,0,0
Uzbekistan,Asia,13.581691976177776,14.084357511383695,0.24433534594580775,22.465310120109713,1007.5334009921604,5.121135966455929,494.69780515116395,1,0,0,0,0
Indonesia,Asia,14.200186328917331,13.717385871413027,0.43951821577427247,19.576394723333348,1038.9044415289407,5.472761136117985,563.4855415722888,1,0,0,0,0
Malawi,Africa,12.05024653172904,12.350574686435415,0.4101921762070783,31.36814813337038,802.2789058476218,4.697169644825174,576.2188430036205,0,0,0,1,0
Costa Rica,Americas,14.378551860429832,14.9852747296681,0.5776061759497846,21.372218248519253,1056.5615460479596,6.395422281331172,430.21063230755766,0,0,1,1,0
